Model,Team,Condition,Harm,Metric,trials,mean,sd,se,ci,Format,Cases,Grading,Type,Model1,Model2,Model3,Provider,Label,Exclude
Gemini 2.0 Flash + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,10,12.3,2.003,0.633,1.241,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,Gemini 2.5 Pro,GPT-5,Google + Google + OpenAI,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Flash + Gemini 2.5 Flash,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,5,10.4,2.302,1.03,2.018,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Flash,Gemini 2.5 Flash,Google + Google + Google,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,6,13.333,3.141,1.282,2.513,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Flash,Gemini 2.5 Pro,Google + Google + Google,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Pro + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,5,11.4,1.949,0.872,1.709,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Pro,DeepSeek R1,Google + Google + DeepSeek,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,5,10.8,1.304,0.583,1.143,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Pro,GPT-5,Google + Google + OpenAI,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,6,11.5,1.871,0.764,1.497,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Pro,Gemini 2.5 Pro,Google + Google + Google,NA,NA
Gemini 2.5 Flash + Llama 4 Maverick + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,3,10.333,2.517,1.453,2.848,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Llama 4 Maverick,DeepSeek R1,Google + Meta + DeepSeek,NA,NA
Gemini 2.5 Flash + Llama 4 Maverick + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,5,9.8,1.095,0.49,0.96,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Llama 4 Maverick,GPT-5,Google + Meta + OpenAI,NA,NA
Gemini 2.5 Flash + Llama 4 Maverick + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,6,11.833,1.941,0.792,1.553,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Llama 4 Maverick,Gemini 2.5 Pro,Google + Meta + Google,NA,NA
Gemini 2.5 Pro + GPT-5 mini + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,10,15.3,4.322,1.367,2.679,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,GPT-5 mini,GPT-5,Google + OpenAI + OpenAI,NA,NA
Gemini 2.5 Pro + GPT-5 mini + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,10,12.3,4.001,1.265,2.48,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,GPT-5 mini,LiSA 1.0,Google + OpenAI + AMBOSS,NA,NA
Gemini 2.5 Pro + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,6,16.667,2.875,1.174,2.301,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,Gemini 2.5 Pro,GPT-5,Google + Google + OpenAI,NA,NA
Gemini 2.5 Pro + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,6,21,1.789,0.73,1.431,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Google + Google + Google,NA,NA
Llama 4 Maverick + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,4,12.5,3.109,1.555,3.047,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,Gemini 2.5 Pro,GPT-5,Meta + Google + OpenAI,NA,NA
Llama 4 Maverick + Llama 4 Maverick + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,5,18.2,1.643,0.735,1.44,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,Llama 4 Maverick,Llama 4 Maverick,Meta + Meta + Meta,NA,NA
Llama 4 Scout + Gemini 2.5 Pro + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,10,9,4.922,1.556,3.05,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.5 Pro,DeepSeek R1,Meta + Google + DeepSeek,NA,NA
Llama 4 Scout + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,10,9,3.367,1.065,2.087,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.5 Pro,GPT-5,Meta + Google + OpenAI,NA,NA
Llama 4 Scout + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,10,10.9,7.445,2.354,4.615,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.5 Pro,Gemini 2.5 Pro,Meta + Google + Google,NA,NA
Llama 4 Scout + Gemini 2.5 Pro + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,10,6.5,2.991,0.946,1.854,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.5 Pro,LiSA 1.0,Meta + Google + AMBOSS,NA,NA
Llama 4 Scout + Gemini 2.5 Pro + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,4,7,1.826,0.913,1.789,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.5 Pro,Llama 4 Maverick,Meta + Google + Meta,NA,NA
Llama 4 Scout + Llama 4 Maverick + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,5,15.6,1.949,0.872,1.709,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Maverick,GPT-5,Meta + Meta + OpenAI,NA,NA
Llama 4 Scout + Llama 4 Maverick + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,5,10.6,3.05,1.364,2.673,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Maverick,Gemini 2.5 Pro,Meta + Meta + Google,NA,NA
Llama 4 Scout + Llama 4 Maverick + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,5,27.4,2.302,1.03,2.018,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Maverick,Llama 4 Maverick,Meta + Meta + Meta,NA,NA
Llama 4 Scout + Llama 4 Maverick + Llama 4 Scout,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,5,27.4,2.302,1.03,2.018,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Maverick,Llama 4 Scout,Meta + Meta + Meta,NA,NA
Llama 4 Scout + Llama 4 Scout + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,5,16.8,1.924,0.86,1.686,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Scout,DeepSeek R1,Meta + Meta + DeepSeek,NA,NA
Llama 4 Scout + Llama 4 Scout + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,5,15.6,2.966,1.327,2.6,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Scout,GPT-5,Meta + Meta + OpenAI,NA,NA
Llama 4 Scout + Llama 4 Scout + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,3,11.333,4.933,2.848,5.582,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Scout,Gemini 2.5 Pro,Meta + Meta + Google,NA,NA
Llama 4 Scout + Llama 4 Scout + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,5,31.4,2.881,1.288,2.525,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Scout,Llama 4 Maverick,Meta + Meta + Meta,NA,NA
Llama 4 Scout + Llama 4 Scout + Llama 4 Scout,3-Agent Teams,Advisor + Guardian + Guardian,Severe,normalized,4,31,3.162,1.581,3.099,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Scout,Llama 4 Scout,Meta + Meta + Meta,NA,NA
Claude 3.7 Sonnet,Solo Models,Advisor,Severe,normalized,10,16.8,1.398,0.442,0.867,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,NA,NA,Anthropic,NA,NA
Claude Haiku 4.5,Solo Models,Advisor,Severe,normalized,20,20.2,2.167,0.484,0.95,NO,AllCases,Unanimous,AllHarm,Claude Haiku 4.5,NA,NA,Anthropic,NA,NA
Claude Sonnet 4.5,Solo Models,Advisor,Severe,normalized,20,13.1,2.673,0.598,1.172,NO,AllCases,Unanimous,AllHarm,Claude Sonnet 4.5,NA,NA,Anthropic,NA,NA
DeepSeek R1,Solo Models,Advisor,Severe,normalized,20,14.3,2.364,0.529,1.036,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,NA,NA,DeepSeek,NA,NA
DeepSeek V3.1,Solo Models,Advisor,Severe,normalized,15,17.2,2.908,0.751,1.472,NO,AllCases,Unanimous,AllHarm,DeepSeek V3.1,NA,NA,DeepSeek,NA,NA
GPT-4.1,Solo Models,Advisor,Severe,normalized,20,24.35,1.872,0.418,0.82,NO,AllCases,Unanimous,AllHarm,GPT-4.1,NA,NA,OpenAI,NA,NA
GPT-4.1 mini,Solo Models,Advisor,Severe,normalized,20,34.95,3.203,0.716,1.404,NO,AllCases,Unanimous,AllHarm,GPT-4.1 mini,NA,NA,OpenAI,NA,NA
GPT-4o,Solo Models,Advisor,Severe,normalized,20,25.3,4.68,1.047,2.051,NO,AllCases,Unanimous,AllHarm,GPT-4o,NA,NA,OpenAI,NA,NA
GPT-4o mini,Solo Models,Advisor,Severe,normalized,10,40.1,4.725,1.494,2.928,NO,AllCases,Unanimous,AllHarm,GPT-4o mini,NA,NA,OpenAI,NA,NA
GPT-5,Solo Models,Advisor,Severe,normalized,20,17.35,2.961,0.662,1.298,NO,AllCases,Unanimous,AllHarm,GPT-5,NA,NA,OpenAI,NA,NA
GPT-5 mini,Solo Models,Advisor,Severe,normalized,20,20.05,2.982,0.667,1.307,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,NA,NA,OpenAI,NA,NA
GPT-5 nano,Solo Models,Advisor,Severe,normalized,10,24.5,3.951,1.249,2.449,NO,AllCases,Unanimous,AllHarm,GPT-5 nano,NA,NA,OpenAI,NA,NA
Gemini 2.0 Flash,Solo Models,Advisor,Severe,normalized,10,14.6,1.647,0.521,1.021,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,NA,NA,Google,NA,NA
Gemini 2.5 Flash,Solo Models,Advisor,Severe,normalized,20,11.75,2.826,0.632,1.239,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,NA,NA,Google,NA,NA
Gemini 2.5 Pro,Solo Models,Advisor,Severe,normalized,20,13.75,4.435,0.992,1.944,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,NA,NA,Google,NA,NA
Gemini 3 Pro,Solo Models,Advisor,Severe,normalized,20,19.75,3.932,0.879,1.723,NO,AllCases,Unanimous,AllHarm,Gemini 3 Pro,NA,NA,Google,NA,NA
Glass Health 4.0,Solo Models,Advisor,Severe,normalized,13,15.846,2.154,0.597,1.171,NO,AllCases,Unanimous,AllHarm,Glass Health 4.0,NA,NA,Glass Health,NA,NA
Grok 4,Solo Models,Advisor,Severe,normalized,15,19.267,3.15,0.813,1.594,NO,AllCases,Unanimous,AllHarm,Grok 4,NA,NA,xAI,NA,NA
Grok 4 Fast,Solo Models,Advisor,Severe,normalized,15,20,4.44,1.146,2.247,NO,AllCases,Unanimous,AllHarm,Grok 4 Fast,NA,NA,xAI,NA,NA
Kimi K2,Solo Models,Advisor,Severe,normalized,15,17.533,3.044,0.786,1.541,NO,AllCases,Unanimous,AllHarm,Kimi K2,NA,NA,Moonshot AI,NA,NA
LiSA 1.0,Solo Models,Advisor,Severe,normalized,20,12.9,2.553,0.571,1.119,NO,AllCases,Unanimous,AllHarm,LiSA 1.0,NA,NA,AMBOSS,NA,NA
Llama 3.3 70b,Solo Models,Advisor,Severe,normalized,10,21,2.789,0.882,1.729,NO,AllCases,Unanimous,AllHarm,Llama 3.3 70b,NA,NA,Meta,NA,NA
Llama 4 Maverick,Solo Models,Advisor,Severe,normalized,20,18.5,1.792,0.401,0.785,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,NA,NA,Meta,NA,NA
Llama 4 Scout,Solo Models,Advisor,Severe,normalized,20,32.35,2.207,0.494,0.967,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,NA,NA,Meta,NA,NA
Mistral Large 2.1,Solo Models,Advisor,Severe,normalized,15,22.2,4.617,1.192,2.336,NO,AllCases,Unanimous,AllHarm,Mistral Large 2.1,NA,NA,Mistral AI,NA,NA
Mistral Medium 3.1,Solo Models,Advisor,Severe,normalized,15,29.133,2.9,0.749,1.468,NO,AllCases,Unanimous,AllHarm,Mistral Medium 3.1,NA,NA,Mistral AI,NA,NA
Qwen3 235B,Solo Models,Advisor,Severe,normalized,5,36.6,6.804,3.043,5.964,NO,AllCases,Unanimous,AllHarm,Qwen3 235B,NA,NA,Alibaba,NA,NA
Qwen3 32B,Solo Models,Advisor,Severe,normalized,13,30.077,3.068,0.851,1.668,NO,AllCases,Unanimous,AllHarm,Qwen3 32B,NA,NA,Alibaba,NA,NA
o1,Solo Models,Advisor,Severe,normalized,10,23.6,2.171,0.686,1.345,NO,AllCases,Unanimous,AllHarm,o1,NA,NA,OpenAI,NA,NA
o1 mini,Solo Models,Advisor,Severe,normalized,10,28.6,4.789,1.514,2.968,NO,AllCases,Unanimous,AllHarm,o1 mini,NA,NA,OpenAI,NA,NA
o3 mini,Solo Models,Advisor,Severe,normalized,20,35.3,3.213,0.719,1.408,NO,AllCases,Unanimous,AllHarm,o3 mini,NA,NA,OpenAI,NA,NA
o4 mini,Solo Models,Advisor,Severe,normalized,10,39.9,3.985,1.26,2.47,NO,AllCases,Unanimous,AllHarm,o4 mini,NA,NA,OpenAI,NA,NA
Claude 3.7 Sonnet + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.11,0.01,0.006,0.011,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Claude 3.7 Sonnet,NA,Anthropic + Anthropic,NA,NA
Claude 3.7 Sonnet + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.103,0.006,0.003,0.007,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,DeepSeek R1,NA,Anthropic + DeepSeek,NA,NA
Claude 3.7 Sonnet + GPT-4.1,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.36,0.02,0.012,0.023,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,GPT-4.1,NA,Anthropic + OpenAI,NA,NA
Claude 3.7 Sonnet + GPT-5,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.113,0.012,0.007,0.013,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,GPT-5,NA,Anthropic + OpenAI,NA,NA
Claude 3.7 Sonnet + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.117,0.025,0.015,0.028,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,GPT-5 mini,NA,Anthropic + OpenAI,NA,NA
Claude 3.7 Sonnet + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.117,0.006,0.003,0.007,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Gemini 2.0 Flash,NA,Anthropic + Google,NA,NA
Claude 3.7 Sonnet + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.093,0.021,0.012,0.024,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Gemini 2.5 Pro,NA,Anthropic + Google,NA,NA
Claude 3.7 Sonnet + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.123,0.012,0.007,0.013,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Llama 4 Maverick,NA,Anthropic + Meta,NA,NA
Claude 3.7 Sonnet + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.127,0.006,0.003,0.007,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Llama 4 Scout,NA,Anthropic + Meta,NA,NA
Claude 3.7 Sonnet + o3 mini,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.12,0.01,0.006,0.011,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,o3 mini,NA,Anthropic + OpenAI,NA,NA
Claude Sonnet 4.5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,5,0.106,0.009,0.004,0.008,NO,AllCases,Unanimous,AllHarm,Claude Sonnet 4.5,Gemini 2.5 Pro,NA,Anthropic + Google,NA,NA
Claude Sonnet 4.5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,10,0.075,0.008,0.003,0.005,NO,AllCases,Unanimous,AllHarm,Claude Sonnet 4.5,LiSA 1.0,NA,Anthropic + AMBOSS,NA,NA
DeepSeek R1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,5,0.1,0.014,0.006,0.012,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Claude 3.7 Sonnet,NA,DeepSeek + Anthropic,NA,NA
DeepSeek R1 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,8,0.111,0.022,0.008,0.015,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,DeepSeek R1,NA,DeepSeek + DeepSeek,NA,NA
DeepSeek R1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.087,0.006,0.003,0.007,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,GPT-5 mini,NA,DeepSeek + OpenAI,NA,NA
DeepSeek R1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,8,0.085,0.017,0.006,0.012,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.0 Flash,NA,DeepSeek + Google,NA,NA
DeepSeek R1 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,10,0.089,0.017,0.005,0.01,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.5 Flash,NA,DeepSeek + Google,NA,NA
DeepSeek R1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,10,0.099,0.017,0.005,0.011,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.5 Pro,NA,DeepSeek + Google,NA,NA
DeepSeek R1 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,10,0.07,0.011,0.003,0.007,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,LiSA 1.0,NA,DeepSeek + AMBOSS,NA,NA
DeepSeek R1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,10,0.096,0.02,0.006,0.012,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Llama 4 Maverick,NA,DeepSeek + Meta,NA,NA
DeepSeek R1 + o3 mini,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,10,0.096,0.019,0.006,0.012,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,o3 mini,NA,DeepSeek + OpenAI,NA,NA
GPT-4.1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.1,0.01,0.006,0.011,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Claude 3.7 Sonnet,NA,OpenAI + Anthropic,NA,NA
GPT-4.1 + GPT-4.1,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.38,0.01,0.006,0.011,NO,AllCases,Unanimous,AllHarm,GPT-4.1,GPT-4.1,NA,OpenAI + OpenAI,NA,NA
GPT-4.1 + GPT-5,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.107,0.006,0.003,0.007,NO,AllCases,Unanimous,AllHarm,GPT-4.1,GPT-5,NA,OpenAI + OpenAI,NA,NA
GPT-4.1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.12,0,0,0,NO,AllCases,Unanimous,AllHarm,GPT-4.1,GPT-5 mini,NA,OpenAI + OpenAI,NA,NA
GPT-4.1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.117,0.006,0.003,0.007,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Gemini 2.0 Flash,NA,OpenAI + Google,NA,NA
GPT-4.1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.1,0.01,0.006,0.011,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Gemini 2.5 Pro,NA,OpenAI + Google,NA,NA
GPT-4.1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.123,0.006,0.003,0.007,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Llama 4 Maverick,NA,OpenAI + Meta,NA,NA
GPT-4.1 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.127,0.006,0.003,0.007,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Llama 4 Scout,NA,OpenAI + Meta,NA,NA
GPT-4.1 + o3 mini,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.12,0,0,0,NO,AllCases,Unanimous,AllHarm,GPT-4.1,o3 mini,NA,OpenAI + OpenAI,NA,NA
GPT-5 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.12,0.017,0.01,0.02,NO,AllCases,Unanimous,AllHarm,GPT-5,DeepSeek R1,NA,OpenAI + DeepSeek,NA,NA
GPT-5 + GPT-4.1,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.383,0.023,0.013,0.026,NO,AllCases,Unanimous,AllHarm,GPT-5,GPT-4.1,NA,OpenAI + OpenAI,NA,NA
GPT-5 + GPT-5,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,8,0.125,0.014,0.005,0.01,NO,AllCases,Unanimous,AllHarm,GPT-5,GPT-5,NA,OpenAI + OpenAI,NA,NA
GPT-5 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.12,0.01,0.006,0.011,NO,AllCases,Unanimous,AllHarm,GPT-5,GPT-5 mini,NA,OpenAI + OpenAI,NA,NA
GPT-5 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.127,0.023,0.013,0.026,NO,AllCases,Unanimous,AllHarm,GPT-5,Gemini 2.0 Flash,NA,OpenAI + Google,NA,NA
GPT-5 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.107,0.032,0.019,0.036,NO,AllCases,Unanimous,AllHarm,GPT-5,Gemini 2.5 Flash,NA,OpenAI + Google,NA,NA
GPT-5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.12,0.017,0.01,0.02,NO,AllCases,Unanimous,AllHarm,GPT-5,Gemini 2.5 Pro,NA,OpenAI + Google,NA,NA
GPT-5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,10,0.124,0.013,0.004,0.008,NO,AllCases,Unanimous,AllHarm,GPT-5,LiSA 1.0,NA,OpenAI + AMBOSS,NA,NA
GPT-5 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.13,0.026,0.015,0.03,NO,AllCases,Unanimous,AllHarm,GPT-5,Llama 4 Maverick,NA,OpenAI + Meta,NA,NA
GPT-5 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.153,0.038,0.022,0.043,NO,AllCases,Unanimous,AllHarm,GPT-5,Llama 4 Scout,NA,OpenAI + Meta,NA,NA
GPT-5 + o3 mini,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.14,0.017,0.01,0.02,NO,AllCases,Unanimous,AllHarm,GPT-5,o3 mini,NA,OpenAI + OpenAI,NA,NA
GPT-5 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,5,0.402,0.048,0.021,0.042,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,GPT-4.1,NA,OpenAI + OpenAI,NA,NA
GPT-5 mini + GPT-5,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.137,0.021,0.012,0.024,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,GPT-5,NA,OpenAI + OpenAI,NA,NA
GPT-5 mini + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.137,0.032,0.019,0.036,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,GPT-5 mini,NA,OpenAI + OpenAI,NA,NA
GPT-5 mini + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.137,0.031,0.018,0.035,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,Gemini 2.0 Flash,NA,OpenAI + Google,NA,NA
GPT-5 mini + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.113,0.015,0.009,0.017,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,Gemini 2.5 Pro,NA,OpenAI + Google,NA,NA
GPT-5 mini + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.173,0.021,0.012,0.024,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,Llama 4 Scout,NA,OpenAI + Meta,NA,NA
GPT-5 mini + o3 mini,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.167,0.015,0.009,0.017,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,o3 mini,NA,OpenAI + OpenAI,NA,NA
Gemini 2.0 Flash + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,9,0.087,0.012,0.004,0.008,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,Claude 3.7 Sonnet,NA,Google + Anthropic,NA,NA
Gemini 2.0 Flash + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Severe,pct_cumulative,3,0.103,0.006,0.003,0.007,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,DeepSeek R1,NA,Google + DeepSeek,NA,NA
